epoch,step,train_loss,val_loss
0,0,0.49240896105766296,
0,1,0.44386133551597595,
0,2,0.4064130187034607,
0,3,0.37291309237480164,
0,4,0.37250012159347534,
0,5,0.3302745223045349,
0,6,0.2992611825466156,
0,7,0.2810199558734894,
0,8,0.2742621898651123,
0,9,0.24650809168815613,
0,10,0.2377277910709381,
0,11,0.21515876054763794,
0,12,0.22483617067337036,
0,13,0.19866949319839478,
0,14,0.19714981317520142,
0,15,0.203440323472023,
0,16,0.1745515763759613,
0,17,0.19054648280143738,
0,18,0.15965762734413147,
0,19,0.17271018028259277,
0,20,0.15531614422798157,
0,21,0.1430796980857849,
0,22,0.1498645544052124,
0,23,0.17211608588695526,
0,24,0.14625431597232819,
0,25,0.13782483339309692,
0,26,0.14355841279029846,
0,27,0.14253142476081848,
0,28,0.14278893172740936,
0,29,0.14139758050441742,
0,30,0.13896815478801727,
0,31,0.12712013721466064,
0,32,0.12888364493846893,
0,33,0.14209529757499695,
0,34,0.19661195576190948,
0,35,0.13139836490154266,
0,36,0.13590312004089355,
0,37,0.13273639976978302,
0,38,0.15405972301959991,
0,39,0.12280543148517609,
0,40,0.1314963847398758,
0,41,0.12448524683713913,
0,42,0.128550723195076,
0,43,0.10716627538204193,
0,44,0.13869178295135498,
0,45,0.12799660861492157,
0,46,0.11622507870197296,
0,47,0.1099744588136673,
0,48,0.09873036295175552,
0,49,0.11055254936218262,
0,50,0.10302229225635529,
0,51,0.12802323698997498,
0,52,0.12108319252729416,
0,53,0.10578149557113647,
0,54,0.09912515431642532,
0,55,0.1309826523065567,
0,56,0.11827642470598221,
0,57,0.1256610006093979,
0,58,0.09695912152528763,
0,59,0.11278390884399414,
0,60,0.09338787943124771,
0,61,0.09659422188997269,
0,62,0.10642025619745255,
0,63,0.1094869002699852,
0,64,0.09389715641736984,
0,65,0.10022646933794022,
0,66,0.11121078580617905,
0,67,0.09162239730358124,
0,68,0.09854330122470856,
0,69,0.08272399753332138,
0,70,0.07918857783079147,
0,71,0.08529918640851974,
0,72,0.09408137947320938,
0,73,0.07980367541313171,
0,74,0.08981581032276154,
0,75,0.0829538032412529,
0,76,0.08546864986419678,
0,77,0.0765039473772049,
0,78,0.07812216877937317,
0,79,0.0737505778670311,
0,80,0.07284044474363327,
0,81,0.07904075086116791,
0,82,0.08460826426744461,
0,83,0.07253977656364441,
0,84,0.057016413658857346,
0,85,0.0714544877409935,
0,86,0.0632503554224968,
0,87,0.06429784744977951,
0,88,0.06963672488927841,
0,89,0.06751932203769684,
0,90,0.059945568442344666,
0,91,0.05602315813302994,
0,92,0.0625259280204773,
0,93,0.06418869644403458,
0,94,0.06949175894260406,
0,95,0.061612818390131,
0,96,0.06175379827618599,
0,97,0.0563470758497715,
0,98,0.05363877862691879,
0,99,0.05676541477441788,
0,99,,0.05083071067929268
1,100,0.051573749631643295,
1,101,0.052158091217279434,
1,102,0.055939290672540665,
1,103,0.051959484815597534,
1,104,0.0432521291077137,
1,105,0.04380679503083229,
1,106,0.05723610147833824,
1,107,0.05700916796922684,
1,108,0.044659197330474854,
1,109,0.039425961673259735,
1,110,0.03564088046550751,
1,111,0.04796925187110901,
1,112,0.043609946966171265,
1,113,0.04795097932219505,
1,114,0.033610228449106216,
1,115,0.03264994919300079,
1,116,0.04221676290035248,
1,117,0.04041651636362076,
1,118,0.03560643270611763,
1,119,0.03893893584609032,
1,120,0.034190669655799866,
1,121,0.06747608631849289,
1,122,0.03200467675924301,
1,123,0.03537788242101669,
1,124,0.027059780433773994,
1,125,0.06008603423833847,
1,126,0.028310811147093773,
1,127,0.05406936630606651,
1,128,0.028406396508216858,
1,129,0.06822556257247925,
1,130,0.028151534497737885,
1,131,0.03993101045489311,
1,132,0.034521106630563736,
1,133,0.025733500719070435,
1,134,0.0301886647939682,
1,135,0.04168558493256569,
1,136,0.030408887192606926,
1,137,0.027865227311849594,
1,138,0.03831794857978821,
